8.597099830133203557e-01 5.776999567697281464e+02 8.665160725253475207e-03
8.654144123026979996e-01 5.336422905659607068e+02 7.641263864314514626e-03
8.728966665356557852e-01 4.495088613521700154e+02 7.054018640375387707e-03
8.901083914981670064e-01 2.645092796286619432e+02 7.120377051876499407e-03
6.572224498706632501e-01 2.044321394308336437e+02 1.393983747979590793e-02
8.643488092942832601e-01 7.691666726498740445e+02 7.010214113349270797e-03
8.903378635800298646e-01 7.131535267788470946e+02 6.355369057192073595e-03
9.029115330714866383e-01 6.264045225412387481e+02 5.512324619230747277e-03
8.601184672443099588e-01 4.648608773749230068e+02 6.036153399144725783e-03
9.711337380403888275e-01 2.631599558245716821e+02 6.464116137886079944e-03
8.417985245321019105e-01 9.951226652137735300e+02 6.940330563056053802e-03
8.502618001139137238e-01 9.619986970863620854e+02 6.326770779726527925e-03
8.486879293517809453e-01 8.741601677676188729e+02 5.567980156607838828e-03
8.808364121966140159e-01 6.656448826371454288e+02 4.664937342370072473e-03
9.305544983753677446e-01 4.586281207405831992e+02 4.754697985414711205e-03
8.677459170172744374e-01 1.206770369947377048e+03 5.674421247139229893e-03
8.688123443526006850e-01 1.186840880173765072e+03 5.276415383230695019e-03
8.558158991150935924e-01 1.121542905095355309e+03 4.803832470416173964e-03
8.665263226785741013e-01 9.440634882723264809e+02 4.469447825716219014e-03
9.021554237647766428e-01 7.395984825087667787e+02 4.248721168947131900e-03
8.623911064685895189e-01 1.475601570976341691e+03 5.757891534610082990e-03
8.622861775151183794e-01 1.451216438317148231e+03 5.130331461856227002e-03
8.500064084725864610e-01 1.405145252209289310e+03 4.793835108734672071e-03
8.570958269788880868e-01 1.218953688051634572e+03 4.101731107825192305e-03
8.717982481713163478e-01 1.056080276855652983e+03 3.975402017791048424e-03
8.653003271507015981e-01 1.772293567519778890e+03 5.697712844687809891e-03
8.684325004438946394e-01 1.748081863751521041e+03 5.156070416138916306e-03
8.514621198346976616e-01 1.708221205880761545e+03 4.492516119648667060e-03
8.667641771717701227e-01 1.554134376087452665e+03 3.858469887859910380e-03
8.555472471777701982e-01 1.385590996049642399e+03 3.999873265427044203e-03
8.624665641911133385e-01 2.046933542696400536e+03 5.539785219015863800e-03
8.689708931969243322e-01 2.019826183105185919e+03 5.135970681523510488e-03
8.600130297078092401e-01 1.998841304586484739e+03 4.727155015157958468e-03
8.649320032791774082e-01 1.920319212438343129e+03 3.743971972303507690e-03
8.672002420316949900e-01 1.720323441874458695e+03 3.669187116049949134e-03
