5482 2527.09 3.06857e+19 21.2592 0 2 19  0.46922 7.72226 30.8095 109.741 97.5391 77.2718 62.618 36.9769 39.2522 24.4706 23.5143 40.2103 24.2101 14.0715 53.8157 49.8219 14.0105 5.55234 3.36924 2.4814 4.36267 23.2899 5.44928 1.73492 0.88716
5482 2527.09 3.06857e+19 21.2592 0 2 19  113.784 333.02 271.815 104.932 84.1665 79.3414 62.266 50.572 52.7994 25.7822 19.6427 29.9038 52.6112 59.5307 21.4271 25.992 14.9543 17.0528 5.06743 20.2736 17.1634 10.0484 16.6847 4.43868 6.31898
5482 2527.09 3.06857e+19 21.2592 0 2 19  0.235218 0.450296 13.091 67.3484 65.0023 40.022 25.6331 33.0739 35.3273 16.9106 12.3521 27.5503 27.3836 9.11663 48.6036 34.6004 8.9935 4.67146 7.58325 3.04572 1.49457 6.36571 8.09394 3.3745 1.87151
5483 2285.35 3.06857e+19 21.2592 2 4 47  1.11543 28.6526 183.817 117.611 83.6437 97.4164 119.034 84.7318 88.1182 43.965 17.7889 66.651 62.3056 21.6734 8.99998 50.504 52.3427 48.1381 46.3887 29.7788 8.136 6.78824 12.252 13.0484 9.91082 2.54414 10.6583 6.51559 1.82869 0.757914 0.50174 0.331888 0.177199 0.0916232 -0.000742458 -2.60992e-05 1.56538e-06 -1.75781e-08 -4.38824e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00041744 0.0175638 0.0685722 0.118687 0.324296 3.69642 13.8433 43.7596 74.0244 61.0862 41.0279 77.1173 107.845 80.068 46.8872 63.9954 54.8233 21.2249 16.0025 29.5282 34.1871 36.6259 36.9204 16.6208 33.234 20.4321 5.73294 8.15273 37.8411 22.7147 6.67382 19.4198 7.74899 2.96356 5.73422 7.8064 17.5341 8.31209 4.75993 2.73061 1.16979 1.49026 14.6124 5.05925 3.90526 3.30905 10.4003 3.94077 1.37348 10.3968 32.8199 27.1643 10.6955 3.14173 2.17381 1.61624 1.25687 0.75119 10.2625 56.1116 70.7635 88.1755 30.0583 31.6978 24.2957 20.9219 26.2744 26.3215 25.8669 7.68972 17.6529 9.68866 32.7946 22.3326 5.31317 21.5987 18.7103 4.25205 2.0237 1.25256 1.39588 22.3028 9.93059 2.03674
5483 2285.35 3.06857e+19 21.2592 2 4 47  40.6359 167.702 144.881 161.735 148.708 116.322 150.38 124.686 114.685 111.864 75.9374 54.5429 35.8626 33.4866 40.458 12.9978 5.20503 4.49794 14.7554 24.1916 16.6868 3.95216 1.86762 1.31127 1.05763 0.600372 0.828516 25.5146 12.2525 2.5121 1.21166 0.920878 0.694265 0.416214 0.189804 -0.00272464 -4.15344e-05 2.83498e-06 -2.20307e-08 -6.60624e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0222492 0.0347925 0.0711584 0.13601 0.450882 23.8901 30.9218 13.5962 56.1325 68.7195 42.1342 36.3062 43.7086 88.1268 55.4601 30.2773 19.6626 22.3425 29.9617 24.4282 14.0733 4.9043 20.8927 54.5625 21.5849 33.2276 43.2166 62.8898 81.5093 50.6567 23.6709 38.7317 35.2873 23.4006 8.12529 43.8448 23.8559 6.2911 2.68344 1.80393 1.33759 0.747694 0.619177 8.70707 3.23436 10.4964 11.5891 22.4309 5.79326 2.18566 1.27699 1.80204 14.5742 4.13688 1.20754 0.796544 19.5639 12.0598 3.27919 23.7767 50.782 85.356 47.1317 45.6517 34.6609 59.6524 19.2503 26.9734 61.8236 41.7268 65.8416 43.603 16.4387 23.758 15.6401 5.64432 6.55934 26.5358 13.0145 4.14675 14.0772 4.55688 1.84617 0.986232
5483 2285.35 3.06857e+19 21.2592 2 4 47  259.164 409.554 223.033 153.856 111.949 101.195 68.7052 97.3081 86.4016 57.3512 51.5353 39.0188 57.6189 73.4953 58.0535 26.006 22.688 30.5327 23.8544 8.94726 27.9791 8.6378 5.60471 43.6827 12.7102 3.98642 1.98234 1.58387 0.99675 0.615129 1.18743 18.425 5.03052 1.46831 0.747992 0.641055 0.420344 0.263621 0.0603204 -0.00130269 -1.12294e-05 4.84988e-07 -8.40025e-09 -1.34704e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0205773 0.0912996 0.160497 0.469786 1.71365 38.4721 73.0919 64.4988 324.255 272.888 118.817 54.8213 57.0364 89.546 56.7956 38.4068 36.92 48.8271 22.1148 10.7124 16.8029 21.4299 8.22662 5.78646 58.5564 74.6104 92.6665 23.4107 10.4533 34.6762 17.4674 17.1473 38.2574 18.8393 7.47412 10.0513 3.31804 4.97413 15.7336 16.5484 3.763 3.13842 4.42241 7.73467 7.66553 4.65921 18.9837 11.4875 2.49262 1.26374 0.852792 0.652488 0.402119 0.266961 3.86368 6.19002 32.9059 17.254 5.33343 68.7066 203.137 128.403 91.855 72.8691 54.0181 39.6538 71.1169 22.9675 11.9536 34.1209 28.0768 29.044 30.6615 44.216 28.8303 8.23634 3.89608 2.46535 1.61312 0.860964 0.375233 0.0298267 -0.000741062 -4.04831e-06 3.29571e-07
5484 2827.14 3.06857e+19 21.2592 1 1 10  124.347 379.103 298.538 254.384 170.804 188.727 145.878 165.813 108.453 79.017 48.878 88.369 78.1464 48.3809 25.9341 38.9829 29.9332 9.88766 4.13842 6.44361 30.508 10.3381 18.1517 5.48927 2.1539 1.27238 0.965715 0.457595 0.266991 0.120954 0.17134 12.5475 24.235 7.51829
5484 2827.14 3.06857e+19 21.2592 1 1 10  16.3677 127.886 195.594 195.987 146.428 132.863 150.306 96.3658 78.9746 127.881 84.3226 76.0261 66.6757 32.7452 26.5669 56.6558 68.1012 64.9592 28.949 35.9916 16.2339 27.1786 9.74157 8.8553 8.62973 60.9704 36.4483 7.54342 3.89306 17.5008 7.2423 2.50448 1.20003 0.533722
5484 2827.14 3.06857e+19 21.2592 1 1 10  7.52746 179.428 265.059 233.919 181.189 155.474 159.145 57.0104 76.8736 58.6848 95.151 68.1077 51.4623 45.3969 27.1574 29.3733 37.7497 41.002 79.5786 58.9909 69.8286 33.0291 27.9676 23.9165 13.0713 4.83147 2.57428 9.81363 12.5355 5.41483 10.9579 2.68971 1.29286 0.687556
5439 2075.21 3.06857e+19 21.2592 5 1 44  1.1631 51.7227 59.9131 123.597 160.834 147.994 132.034 146.546 160.174 133.194 46.7911 69.2301 68.3274 68.0966 53.4092 35.2482 15.3059 29.1633 37.1701 42.3865 37.7761 9.07773 13.2568 13.7016 4.80298 24.8399 11.6361 17.6452 32.6189 14.2645 50.3931 35.0415 9.54458 3.90352 2.72543 2.00743 13.911 17.9666 5.18702 5.24798 17.5408 17.8516 18.8281 4.68809 5.27647 30.1712 10.2336 11.1619 7.71065 7.46457 3.02467 1.20154 0.687477 0.377327 0.245341 0.112146 3.12228 11.8187 2.56494 0.929051 0.517769 1.1955 14.4069 4.89576 1.31198 0.652788 0.61572 0.492238 4.43042 5.10367 21.1605 33.5998 12.0726 3.69658 2.24718 15.4914 7.24693 4.78051 30.4324 40.3807 24.6343 9.46338 3.71792 2.45251 1.64068 8.24589 17.2824 3.20331 1.36489 13.5518 16.8061 22.3505 13.5923 17.8661 5.1542 10.8109 11.4129 3.07932 2.99547 13.059 12.6796 18.2098 21.9907 14.4781 3.81736 1.91186 1.23119 0.924962 0.412334 0.17944 0.00158443 -7.85351e-05 3.44371e-06 -3.64238e-08 -1.28265e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00125602 0.112287 0.205168 0.544199 0.819553 10.4519 98.9925 119.157 212.245 194.348 119.154 116.901 110.395 128.684 73.1967 84.6671 120.046 138.706 109.051 51.3165 60.6627 61.1709 37.8038 37.3252 25.917 37.7968 30.3291 10.9265 32.9529 44.5444 10.2801 4.2443 8.90587 15.21 4.59897 2.75003 27.6622 217.104 204.849 271.977 160.196 129.243 89.4629 114.293 158.156 74.9797 31.9096 69.2169 63.0586 43.3481 24.0408 66.3422 63.5232 60.6999 60.3352 41.1412 19.5907 14.8333 19.2911 23.5168 5.57055 2.3902 1.41881 5.41098 16.4745 23.6481 27.5552 6.61697 7.60159 4.07464 2.01754 3.00402 2.03841 0.529367 0.269792 1.46369 23.5412 8.01304 1.92363 1.02482 0.857086 0.706037 12.8458 14.6991 15.2795 3.92182 1.84381 8.16119 34.1046 67.1932 46.2598 19.0259 37.1153 89.3997 69.4676 31.7778 46.1269 56.7141 23.7682 8.39008 35.8811 50.5124 54.0469 20.6761 6.55999 8.69572 23.4844 6.70574
