Sat Apr  8 09:28:08 2023    performance/output.dat

         69375377 function calls (69262752 primitive calls) in 78.555 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8093    0.002    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/multiarray.py:736(dot)
     2202    0.002    0.000    0.311    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:465(_fnt_def)
    11112    0.002    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:896(get_rasterized)
      232    0.002    0.000    0.019    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/ticker.py:2007(set_params)
 1080/513    0.002    0.000    0.781    0.002 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:472(<listcomp>)
     2271    0.002    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:1193(set_markeredgewidth)
     2213    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.lock' objects}
      502    0.002    0.000    0.002    0.000 {built-in method zlib.crc32}
     2207    0.002    0.000    0.004    0.000 /cr/users/filip/anaconda3/lib/python3.9/threading.py:1059(_wait_for_tstate_lock)
     1503    0.002    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:536(<listcomp>)
      349    0.002    0.000    0.011    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:939(get_yaxis_text1_transform)
      812    0.002    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/getlimits.py:382(__new__)
     2238    0.002    0.000    0.011    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:316(set_label2)
     2552    0.002    0.000    0.006    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2218(<lambda>)
      492    0.002    0.000    0.002    0.000 {method 'write' of '_io.BufferedRandom' objects}
     9138    0.002    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:861(get_text)
     1412    0.002    0.000    0.006    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:1096(set_zorder)
      648    0.002    0.000    0.009    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2539(ptp)
       54    0.002    0.000    0.974    0.018 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:1090(get_tightbbox)
     7002    0.002    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:826(<listcomp>)
    11112    0.002    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:921(get_agg_filter)
      162    0.002    0.000    0.586    0.004 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:1860(_get_tick_boxes_siblings)
     2754    0.002    0.000    0.004    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1363(_iter_break_from_left_to_right)
     3588    0.002    0.000    0.004    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2130(transform)
     2271    0.002    0.000    0.013    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:1173(set_markerfacecolor)
      232    0.002    0.000    0.021    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:1248(findfont)
  354/246    0.002    0.000    0.539    0.002 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:2052(_get_tick)
     3832    0.002    0.000    0.013    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:38(_amax)
     1001    0.002    0.000    0.002    0.000 /cr/users/filip/Binaries/Signal.py:399(get)
     2647    0.002    0.000    0.007    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:752(get_transform)
     4800    0.002    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/figure.py:2388(_set_dpi)
       27    0.002    0.000    8.322    0.308 /cr/users/filip/Binaries/Classifier.py:65(plot_trace_window)
      935    0.002    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:1171(<dictcomp>)
  349/241    0.002    0.000    0.534    0.002 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:2320(_get_tick)
      703    0.002    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:190(_set_labelrotation)
      324    0.002    0.000    0.419    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:1368(get_major_ticks)
      800    0.002    0.000    0.011    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:692(_transform_path)
      162    0.002    0.000    0.005    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:4508(get_children)
       81    0.002    0.000    0.042    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:441(get_renderer)
      648    0.002    0.000    0.085    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/ticker.py:221(format_ticks)
     2271    0.002    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:537(set_markevery)
     2271    0.002    0.000    0.005    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:492(set_pickradius)
      730    0.002    0.000    0.005    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:960(set_alpha)
     4509    0.002    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:540(<genexpr>)
      232    0.002    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/ticker.py:2001(_staircase)
     1144    0.002    0.000    0.009    0.000 {method 'min' of 'numpy.ndarray' objects}
     7932    0.002    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:775(get_size_in_points)
       54    0.002    0.000    0.012    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/patches.py:4021(get_path)
      108    0.002    0.000    0.031    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/spines.py:141(get_window_extent)
       81    0.002    0.000    0.034    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:406(_plot_args)
      354    0.002    0.000    0.030    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:442(_apply_tickdir)
     1286    0.002    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backend_bases.py:869(set_alpha)
      174    0.002    0.000    1.129    0.006 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:790(clear)
      232    0.002    0.000    0.004    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:1633(set_major_locator)
     2876    0.002    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2688(get_matrix)
       81    0.002    0.000    0.416    0.005 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:2073(_update_label_position)
     2271    0.002    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:1010(set_antialiased)
     2987    0.002    0.000    0.002    0.000 {built-in method sys.intern}
     2957    0.002    0.000    0.002    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     2248    0.001    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backend_bases.py:997(get_hatch_path)
      191    0.001    0.000    0.006    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:2482(_process_unit_info)
        1    0.001    0.001    0.005    0.005 /cr/users/filip/anaconda3/lib/python3.9/random.py:348(shuffle)
      459    0.001    0.000    0.027    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:667(<listcomp>)
      349    0.001    0.000    0.029    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:503(_apply_tickdir)
      135    0.001    0.000    0.027    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/legend.py:830(_auto_legend_data)
     1944    0.001    0.000    0.001    0.000 {built-in method math.log10}
     7383    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3123(_ndim_dispatcher)
     8575    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
     1932    0.001    0.000    0.021    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3730(round_)
     2207    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/ipykernel/iostream.py:97(_event_pipe)
      349    0.001    0.000    0.010    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:965(get_yaxis_text2_transform)
     4436    0.001    0.000    0.001    0.000 {built-in method builtins.vars}
      261    0.001    0.000    0.008    0.000 /cr/users/filip/anaconda3/lib/python3.9/pathlib.py:682(_parse_args)
       24    0.001    0.000    0.008    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/image.py:1713(_pil_png_to_float_array)
       54    0.001    0.000    3.938    0.073 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backend_bases.py:1595(wrapper)
     1189    0.001    0.000    0.071    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:996(get_path)
     1296    0.001    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/ticker.py:1908(closeto)
     2328    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
 1732/822    0.001    0.000    0.005    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2380(_invalidate_internal)
      354    0.001    0.000    0.010    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:889(get_xaxis_text2_transform)
      135    0.001    0.000    0.062    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/legend.py:1019(<listcomp>)
     5157    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:727(get_family)
  304/277    0.001    0.000    4.136    0.015 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/_api/deprecation.py:381(wrapper)
      517    0.001    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:2939(_get_axis_list)
      939    0.001    0.000    0.004    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:224(get_rotation)
   108/54    0.001    0.000    0.005    0.000 /cr/users/filip/anaconda3/lib/python3.9/inspect.py:2246(_signature_from_callable)
      351    0.001    0.000    0.004    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2462(__init__)
     1230    0.001    0.000    0.010    0.000 {method 'sum' of 'numpy.ndarray' objects}
       27    0.001    0.000    1.908    0.071 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/image.py:1566(imsave)
       81    0.001    0.000    0.242    0.003 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:2342(_update_label_position)
     1782    0.001    0.000    0.005    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:316(get_visible_children)
       27    0.001    0.000    3.922    0.145 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backend_bases.py:2192(print_figure)
       55    0.001    0.000    0.010    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:3608(set_xlim)
     1613    0.001    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/lib/shape_base.py:608(_column_stack_dispatcher)
       81    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.update_path_extents}
       54    0.001    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/lib/arraysetops.py:320(_unique1d)
      459    0.001    0.000    0.022    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:668(<listcomp>)
       81    0.001    0.000    3.615    0.045 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:429(draw)
     1340    0.001    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backend_bases.py:955(set_joinstyle)
     2113    0.001    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:1109(get_default_size)
      582    0.001    0.000    0.006    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/path.py:646(intersects_bbox)
       54    0.001    0.000    0.010    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:2867(handle_single_axis)
     7373    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2758(_amin_dispatcher)
     2202    0.001    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:109(_arg_olen1)
     2816    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/spines.py:549(__getattr__)
     1762    0.001    0.000    0.004    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2226(transform_non_affine)
     1303    0.001    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:1810(_str_lower_equal)
      108    0.001    0.000    0.023    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:699(__init__)
     4641    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:887(set_file)
      194    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.count_bboxes_overlapping_bbox}
      459    0.001    0.000    0.021    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:670(<listcomp>)
      459    0.001    0.000    0.021    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:669(<listcomp>)
     4021    0.001    0.000    0.001    0.000 {built-in method math.radians}
      162    0.001    0.000    0.007    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:1301(_check_1d)
      265    0.001    0.000    0.043    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:1338(_copy_tick_props)
      648    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/ticker.py:1897(__init__)
       27    0.001    0.000    1.819    0.067 /cr/users/filip/anaconda3/lib/python3.9/site-packages/PIL/PngImagePlugin.py:1191(_save)
    42/38    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
     5157    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:746(get_variant)
      232    0.001    0.000    0.085    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:759(_set_scale)
      191    0.001    0.000    0.008    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1070(set)
  438/220    0.001    0.000    0.698    0.003 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:581(__get__)
       54    0.001    0.000    3.539    0.066 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:3013(draw)
       81    0.001    0.000    0.090    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_axes.py:1388(plot)
     7454    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2633(_amax_dispatcher)
     2271    0.001    0.000    0.006    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:1183(set_markerfacecoloralt)
   108/54    0.001    0.000    3.539    0.066 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/image.py:114(_draw_list_compositing_images)
      220    0.001    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:3591(_validate_converted_limits)
      259    0.001    0.000    0.010    0.000 /cr/users/filip/anaconda3/lib/python3.9/pathlib.py:1079(__new__)
       60    0.001    0.000    0.010    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/patches.py:59(__init__)
      354    0.001    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:2942(_get_axis_map)
      729    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:1938(<genexpr>)
     7806    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1822(get_affine)
      324    0.001    0.000    0.005    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2497(get_matrix)
     3113    0.001    0.000    0.001    0.000 {built-in method math.sin}
      810    0.001    0.000    0.007    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:1138(set_position)
       81    0.001    0.000    0.030    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/legend_handler.py:303(create_artists)
      504    0.001    0.000    0.007    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2268(any)
     3113    0.001    0.000    0.001    0.000 {built-in method math.cos}
      354    0.001    0.000    0.007    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/markers.py:702(_set_tickdown)
      232    0.001    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:1649(set_minor_locator)
     1340    0.001    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backend_bases.py:891(set_capstyle)
     1861    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:500(_post)
      922    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/spines.py:556(__getitem__)
       54    0.001    0.000    3.571    0.066 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/figure.py:2786(draw)
      702    0.001    0.000    0.032    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1610(transform_path_affine)
       54    0.001    0.000    1.353    0.025 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/legend.py:602(draw)
      324    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:1087(<listcomp>)
      908    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:620(_get_wrapped_text)
      349    0.001    0.000    0.007    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/markers.py:682(_set_tickleft)
     1340    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backend_bases.py:886(set_antialiased)
     2271    0.001    0.000    0.007    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:1163(set_markeredgecolor)
       27    0.001    0.000    1.269    0.047 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/figure.py:3162(tight_layout)
       81    0.001    0.000    0.020    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:347(_makeline)
      675    0.001    0.000    0.001    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     1978    0.001    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1787(__array__)
      351    0.001    0.000    0.012    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:194(__init__)
  378/243    0.001    0.000    0.671    0.003 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:436(<listcomp>)
     1861    0.001    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:215(__exit__)
      648    0.001    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/ticker.py:1918(le)
      648    0.001    0.000    0.011    0.000 <__array_function__ internals>:2(ptp)
  702/378    0.001    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:216(axes)
      891    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:649(get_extent)
     5157    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:739(get_style)
      776    0.001    0.000    0.043    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/legend.py:1030(<genexpr>)
      270    0.001    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/pyplot.py:833(gcf)
     6002    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:1111(sticky_edges)
     4023    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:168(<genexpr>)
       55    0.001    0.000    0.007    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:3939(set_ylim)
      582    0.001    0.000    0.007    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:351(max)
      135    0.001    0.000    0.157    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/legend.py:585(_findoffset)
      702    0.001    0.000    0.037    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1601(transform_path)
      233    0.001    0.000    0.010    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:512(_get_data_path)
     1458    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:101(<listcomp>)
     3156    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:604(get_gid)
      162    0.001    0.000    0.038    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:242(__call__)
     2769    0.001    0.000    0.004    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backend_bases.py:651(get_texmanager)
     1602    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:1283(set_parse_math)
      232    0.001    0.000    0.020    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/ticker.py:1945(__init__)
       81    0.001    0.000    0.049    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:2274(add_line)
     4293    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:163(<genexpr>)
      486    0.001    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/spines.py:134(get_patch_transform)
     5157    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:752(get_weight)
     1023    0.001    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2311(get_matrix)
     2427    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:449(_fnt_num_immediate)
       24    0.001    0.000    0.001    0.000 {method 'decode' of 'ImagingDecoder' objects}
      582    0.001    0.000    0.004    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:434(__exit__)
      582    0.001    0.000    0.009    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:346(min)
      163    0.001    0.000    0.011    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:1055(_set_position)
      378    0.001    0.000    0.020    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:211(_get_xy_display)
      696    0.001    0.000    0.003    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:1206(score_weight)
     3651    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2042(_clip_dispatcher)
      324    0.001    0.000    0.154    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:1275(get_majorticklocs)
      675    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(nonzero)
     1164    0.001    0.000    0.001    0.000 {built-in method numpy.seterrobj}
     1551    0.001    0.000    0.002    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:2940(<genexpr>)
2924/1948    0.001    0.000    0.380    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/spines.py:200(_ensure_position_is_set)
     4872    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/path.py:214(codes)
      504    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(any)
     2016    0.001    0.000    0.005    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/ipykernel/iostream.py:439(_schedule_flush)
     1613    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
       81    0.001    0.000    0.022    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axes/_base.py:2302(_update_line_limits)
     4462    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:778(get_file)
       24    0.001    0.000    0.031    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/image.py:1472(imread)
      232    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/scale.py:582(scale_factory)
      271    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/_pylab_helpers.py:105(get_active)
      116    0.001    0.000    0.034    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:850(set_tick_params)
      194    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/shape_base.py:139(atleast_3d)
     3699    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:193(_reshape_dispatcher)
     5157    0.001    0.000    0.001    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:761(get_stretch)
