6.586109414118183070e-01 1.890218628458150470e-03 1.782520707831325353e+03 5.912247988705343005e+01
6.703561289395191247e-01 1.958349670331940851e-03 1.766832956827309317e+03 5.886174000613247870e+01
6.642589331704220612e-01 1.923768795011925829e-03 1.719769703815261209e+03 5.807249660737029728e+01
6.692061666726560887e-01 1.951954461292546147e-03 1.772715863453815473e+03 5.895965258837266987e+01
6.604975982558906056e-01 1.901591773323879544e-03 1.625643197791164766e+03 5.646092200398457095e+01
6.584911536756866690e-01 1.889490824186634268e-03 1.698199046184739018e+03 5.770715271069497732e+01
6.691762197386231792e-01 1.951787140063553170e-03 1.711925828313253078e+03 5.793991082570186535e+01
6.623962338735760458e-01 1.912868242113330113e-03 1.898217871485943988e+03 6.101103314078206097e+01
6.530228435212802607e-01 1.855529022055124079e-03 1.684472264056224958e+03 5.747345197098097458e+01
6.610606006157089265e-01 1.904953153638911951e-03 1.680550326305221006e+03 5.740650558603338283e+01
