6.496927444568224574e-01 1.834124682759763350e-03 1.411897590361445964e+03 5.261831648860574973e+01
6.664031336471771816e-01 1.936120176515686991e-03 1.466804718875502203e+03 5.363169212466014102e+01
6.584971430624932953e-01 1.889527230639860295e-03 1.468765687751004180e+03 5.366753021227099651e+01
6.584073022603945669e-01 1.888980954264780649e-03 1.431507279116465952e+03 5.298246143208104542e+01
6.618092739665313307e-01 1.909400098345692166e-03 1.447195030120481988e+03 5.327198523471277980e+01
6.472610534133514948e-01 1.818140241760078961e-03 1.304044302208835461e+03 5.056866904425368858e+01
6.625280003833207143e-01 1.913644606608473891e-03 1.309927208835341389e+03 5.068260535626916408e+01
6.501179909200895946e-01 1.836889026994780296e-03 1.386404994979919820e+03 5.214112622485383497e+01
6.603179166516931486e-01 1.900515859253859227e-03 1.266785893574297233e+03 4.984102435969987255e+01
6.660976749200416824e-01 1.934373359039431297e-03 1.362873368473895653e+03 5.169673352183762205e+01
